date,day_ret,equity
2020-01-02,0.007030649051324722,1.0070306490513248
2020-01-03,-0.0073430207417242155,0.9996360021077889
2020-01-06,0.0017734479708158566,1.0014088045472813
2020-01-07,0.0006597651686355663,1.0020694991960866
2020-01-08,-0.002784995455121842,0.9992787401951092
2020-01-09,-0.00035533179486270773,0.9989236646867875
2020-01-10,0.0008710997319837928,0.9997938268233685
2020-01-13,0.01184997428252967,1.0116413579590575
2020-01-14,0.001786200007691197,1.0134483517604247
2020-01-15,0.003097561316998344,1.0165875701716136
2020-01-16,-0.0070187065692565165,1.0094524403146257
2020-01-17,-0.01134985563806571,0.9979953008435616
2020-01-21,-0.015420709382275428,0.9826055053443764
2020-01-22,0.01752388896074201,0.9998245751122451
2020-01-23,0.00037367906856302345,1.0001981886281996
2020-01-24,0.01357241057084807,1.0137732890964801
2020-01-27,0.011372083790161913,1.0253020038843133
2020-01-28,-0.0017605461879119924,1.0234969123499162
2020-01-29,0.0009439331838479642,1.0244630250490492
2020-01-30,-0.01499779180108457,1.009098341891454
2020-01-31,0.016476360982341804,1.0257246104391402
2020-02-03,-0.009712576570844456,1.0157621816196505
2020-02-04,-0.003328733511065161,1.0123809800064205
2020-02-05,0.02366960080894942,1.0363436336697456
2020-02-06,-0.0010374764310466609,1.0352684515753479
2020-02-07,-0.016714217179956914,1.0179647498361597
2020-02-10,-0.004570193175684984,1.0133124542833707
2020-02-11,-0.0036214960411023634,1.0096427472417837
2020-02-12,-0.0009525726948965136,1.008680989129161
2020-02-13,-0.00796678951086401,1.000645040005159
2020-02-14,-0.015656685699410904,0.9849782551171238
2020-02-18,-0.0017553774995714044,0.983249246450524
2020-02-19,0.005953483055860834,0.989103004178955
2020-02-20,0.0006499343569263042,0.9897458562039101
2020-02-21,0.006599070598768819,0.9962772589838386
2020-02-24,-0.022231547089062827,0.9741284741869769
2020-02-25,-0.004248753552892522,0.9699896423713011
2020-02-26,0.01112552462329854,0.9807812860218477
2020-02-27,-0.016929172902536406,0.9641774700512118
2020-02-28,0.002169487277635163,0.9662692408058704
2020-03-02,0.003373623576973832,0.9695290694983577
2020-03-03,-0.003758369729494723,0.9658852207916899
2020-03-04,0.010919783282766828,0.9764324780787625
2020-03-05,-0.009821088420321328,0.9668428483750775
2020-03-06,0.018729899815682398,0.9849517180626517
2020-03-09,0.040333823582610874,1.0246785868963801
2020-03-10,-0.04131843510944546,0.9823404711956638
2020-03-11,-0.05539741869948755,0.9279213448073858
2020-03-12,-0.01531505318144242,0.913710180063465
2020-03-13,0.00413221445611936,0.9174858264782267
2020-03-16,-0.0564531898063753,0.8656908249713924
2020-03-17,-0.10718300767168543,0.7729034786371759
2020-03-18,0.03161643178419171,0.7973399287452726
2020-03-19,-0.02162253900384177,0.7800994150366575
2020-03-20,-0.00874816553666885,0.7732749762188583
2020-03-23,-0.04797506152269245,0.7361770616608
2020-03-24,-0.10056454973197426,0.6621437469318738
2020-03-25,0.003940761571216053,0.664753097564404
2020-03-26,0.01582895969986103,0.6752754475561088
2020-03-27,0.06838154137414383,0.7214518235121103
2020-03-30,-0.00783159721281005,0.7158017034219162
2020-03-31,0.06235170208278187,0.7604331579840273
2020-04-01,-0.008887283065385405,0.7536749732567183
2020-04-02,-0.012331329216146696,0.7443811590395192
2020-04-03,0.030954060492734907,0.7674227784660806
2020-04-06,-0.0040634205775299335,0.7643044169563964
2020-04-07,0.006254649067570546,0.7690848728652527
2020-04-08,-0.023500824228501763,0.7510107444512468
2020-04-09,0.03450126406167479,0.7769215644587143
2020-04-13,-0.03245595840753107,0.7517058304767283
2020-04-14,-0.03734717511742308,0.7236317411891261
2020-04-15,0.014662397514743372,0.7342419174327269
2020-04-16,-0.04812244222356507,0.6989084031829509
2020-04-17,0.027561164338124205,0.7181711325403721
2020-04-20,-0.019557754852734737,0.7041253175878367
